Component Name,Occurrence Name,Full Path,Description,Part Number,Material,Mass [kg],Volume [cm³],Density [kg/cm³],Surface Area [cm²],CoM X [cm],CoM Y [cm],CoM Z [cm],I1 [kg·cm²],I2 [kg·cm²],I3 [kg·cm²],Size X [cm],Size Y [cm],Size Z [cm],Young's Modulus [Pa],Poisson's Ratio,Shear Modulus [Pa],Thermal Conductivity [W/m·K],Thermal Expansion [1/K]
WJ200UM_01_16_AL_P230_2,WJ200UM_01_16_AL_P230_2:1,Chariot Y:1+Palier WJ200UM v1:9+WJ200UM_01_16_AL_P230_2:1,,WJ200UM_01_16_AL_P230_2,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,213.225983,-11.10609,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
Palier WJ200UM v1,Palier WJ200UM v1:9,Chariot Y:1+Palier WJ200UM v1:9,,Palier WJ200UM,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,213.225983,-11.10609,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_16_AL_P230_2,WJ200UM_01_16_AL_P230_2:1,Chariot Y:1+Palier WJ200UM v1:10+WJ200UM_01_16_AL_P230_2:1,,WJ200UM_01_16_AL_P230_2,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,229.62599,-11.10609,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
Palier WJ200UM v1,Palier WJ200UM v1:10,Chariot Y:1+Palier WJ200UM v1:10,,Palier WJ200UM,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,229.62599,-11.10609,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_16_AL_P230_2,WJ200UM_01_16_AL_P230_2:1,Chariot Y:1+Palier WJ200UM v1:11+WJ200UM_01_16_AL_P230_2:1,,WJ200UM_01_16_AL_P230_2,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,229.627541,5.412059,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
Palier WJ200UM v1,Palier WJ200UM v1:11,Chariot Y:1+Palier WJ200UM v1:11,,Palier WJ200UM,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,229.627541,5.412059,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_16_AL_P230_2,WJ200UM_01_16_AL_P230_2:1,Chariot Y:1+Palier WJ200UM v1:12+WJ200UM_01_16_AL_P230_2:1,,WJ200UM_01_16_AL_P230_2,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,213.227512,5.412059,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
Palier WJ200UM v1,Palier WJ200UM v1:12,Chariot Y:1+Palier WJ200UM v1:12,,Palier WJ200UM,Steel,0.141641,18.043427,0.00785,107.647216,9.585892,213.227512,5.412059,1,0.315583,0.22301,2.552,3.602,3.452,N/A,N/A,N/A,N/A,N/A
3D_IFRM_10138747,3D_IFRM_10138747:1,Chariot Y:1+RailZ:1+Baumer_IFRM_10138747 v1:1+3D_IFRM_10138747:1,3D_IFRM_10138747,3D_IFRM_10138747,Steel,0.011842,1.508481,0.00785,10.985066,14.430129,226.224617,2.331849,1,0.010632,0.000908,0.802,3.597,0.802,N/A,N/A,N/A,N/A,N/A
Nut_IFRM_10138747,Nut_IFRM_10138747:1,Chariot Y:1+RailZ:1+Baumer_IFRM_10138747 v1:1+Nut_IFRM_10138747:1,Nut_IFRM_10138747,Nut_IFRM_10138747,Steel,0.003324,0.423384,0.00785,4.588928,14.43013,226.57679,2.331538,1,0.000525,0.000963,1.442,0.45188,1.302,N/A,N/A,N/A,N/A,N/A
Nut_IFRM_10138747,Nut_IFRM_10138747:2,Chariot Y:1+RailZ:1+Baumer_IFRM_10138747 v1:1+Nut_IFRM_10138747:2,Nut_IFRM_10138747,Nut_IFRM_10138747,Steel,0.003324,0.423384,0.00785,4.588928,14.43013,225.37679,2.331538,1,0.000525,0.000963,1.442,0.45188,1.302,N/A,N/A,N/A,N/A,N/A
Baumer_IFRM_10138747 v1,Baumer_IFRM_10138747 v1:1,Chariot Y:1+RailZ:1+Baumer_IFRM_10138747 v1:1,STEP AP203,Baumer_IFRM_10138747,Steel,0.018489,2.35525,0.00785,20.162922,14.430129,226.135517,2.331737,1,0.014336,0.002834,1.444,3.597,1.304,N/A,N/A,N/A,N/A,N/A
RailZ,RailZ:1,Chariot Y:1+RailZ:1,,RailZ,Steel,1.345305,171.37645,0.00785,1443.326319,13.1976,221.491741,-2.775843,1,139.054602,137.474592,3.502,10.524781,35.002,N/A,N/A,N/A,N/A,N/A
