Component Name,Occurrence Name,Full Path,Description,Part Number,Material,Mass [kg],Volume [cm³],Density [kg/cm³],Surface Area [cm²],CoM X [cm],CoM Y [cm],CoM Z [cm],I1 [kg·cm²],I2 [kg·cm²],I3 [kg·cm²],Size X [cm],Size Y [cm],Size Z [cm],Young's Modulus [Pa],Poisson's Ratio,Shear Modulus [Pa],Thermal Conductivity [W/m·K],Thermal Expansion [1/K]
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460566,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,49.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:2+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,55.460569,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:2,Profile 5:2,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,52.460427,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746281,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746283,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,97.746283,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746283,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:3+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,103.746283,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:3,Profile 5:3,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,100.746142,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,146.031995,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,146.031995,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,152.031995,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,152.031995,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,146.031998,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,146.031998,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,152.031998,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:4+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,152.031998,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:4,Profile 5:4,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,149.031856,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,194.317709,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,194.317709,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,200.317709,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,200.317709,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,194.317712,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,194.317712,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,200.317712,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:5+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,200.317712,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:5,Profile 5:5,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,197.31757,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,242.603424,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,242.603424,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,248.603424,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,248.603424,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,242.603426,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,242.603426,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,248.603426,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:6+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,248.603426,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:6,Profile 5:6,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,245.603284,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,290.889138,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:1,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:1,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,290.889138,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:2+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,296.889138,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:2,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:2,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,296.889138,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:3+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,290.889141,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:3,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:3,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,290.889141,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:4+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,296.889141,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Item-Angle-Bracket-5-20x20 v2,Item-Angle-Bracket-5-20x20 v2:4,Profile 5:7+Item-Angle-Bracket-5-20x20 v2:4,,Item-Angle-Bracket-5-20x20,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,296.889141,-11.202784,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
Profile 5,Profile 5:7,Profile 5:7,,Profile 5,Steel,1.139815,145.199311,0.00785,964.282766,5.296119,293.888999,-2.835505,1,42.298048,35.635156,4.250289,17.004,20.886142,N/A,N/A,N/A,N/A,N/A
item_0042503_Angle_Bracket_5_20x20_Zn_2,item_0042503_Angle_Bracket_5_20x20_Zn_2:1,Profile 5:8+Item-Angle-Bracket-5-20x20 v2:1+item_0042503_Angle_Bracket_5_20x20_Zn_2:1,,item_0042503_Angle_Bracket_5_20x20_Zn_2,Steel,0.017945,2.285994,0.00785,23.486559,6.669339,339.174852,5.508793,1,0.015868,0.009866,2.002756,2.002,2.002756,N/A,N/A,N/A,N/A,N/A
